,id,property_type,room_type,neighbourhood,accommodates,bedrooms,beds,price
0,12147973,8,0,22,4,2.0,3.0,250
1,3075044,0,1,22,2,1.0,1.0,65
2,6976,0,1,22,2,1.0,1.0,65
3,1436513,8,1,30,4,1.0,2.0,75
4,7651065,8,1,22,2,1.0,2.0,79
5,12386020,4,1,22,2,1.0,1.0,75
6,5706985,0,0,30,3,1.0,2.0,100
7,2843445,8,1,22,2,1.0,1.0,75
8,753446,4,1,22,2,1.0,2.0,58
9,849408,0,0,22,5,2.0,2.0,229
10,12023024,8,1,22,2,1.0,1.0,60
11,1668313,8,1,22,1,1.0,1.0,57
12,2684840,4,0,22,4,2.0,2.0,93
13,13547301,0,0,22,5,2.0,3.0,150
14,5434353,8,0,22,2,2.0,2.0,145
15,225979,0,1,22,1,1.0,1.0,60
16,3420384,8,1,22,4,1.0,3.0,165
17,13512930,4,1,22,2,1.0,1.0,75
18,7482195,8,1,22,1,1.0,1.0,49
19,7252607,8,1,30,2,1.0,1.0,49
20,2583074,12,1,22,1,1.0,1.0,40
21,13251243,8,0,22,3,0.0,2.0,120
22,225834,0,1,22,2,1.0,1.0,70
23,6400432,8,0,30,8,3.0,5.0,150
24,5498472,8,0,22,5,4.0,3.0,175
25,894539,8,1,22,2,1.0,1.0,95
26,879929,0,1,22,2,1.0,1.0,90
27,9218312,8,1,22,2,1.0,1.0,95
28,321328,0,1,22,2,1.0,2.0,100
29,1810172,8,1,22,2,1.0,1.0,67
30,6513924,4,1,22,1,1.0,1.0,55
31,7093109,0,0,22,6,2.0,2.0,200
32,14690527,0,0,22,4,1.0,2.0,150
33,7086825,8,1,22,1,1.0,1.0,49
34,1861070,8,1,22,1,1.0,1.0,75
35,4283698,8,0,22,4,1.0,2.0,110
36,10116095,0,1,30,2,1.0,1.0,115
37,8548176,8,0,22,16,3.0,5.0,125
38,4922204,8,0,22,16,3.0,7.0,200
39,4085362,8,1,22,2,1.0,1.0,75
40,3755609,8,1,22,1,1.0,1.0,78
41,13768853,0,1,22,4,1.0,2.0,50
42,1936861,0,1,22,1,1.0,1.0,60
43,4461111,8,1,22,1,1.0,1.0,45
44,1724900,8,0,22,4,2.0,2.0,145
45,13937181,8,1,22,2,1.0,1.0,45
46,3968797,8,1,22,2,1.0,1.0,85
47,1494726,8,1,22,1,1.0,1.0,75
48,8473851,8,1,22,2,1.0,1.0,50
49,3575220,8,1,22,1,1.0,1.0,45
50,1591827,8,1,22,2,1.0,1.0,60
51,3229255,0,0,22,3,1.0,1.0,95
52,1721016,0,0,22,2,0.0,1.0,89
53,12535687,0,0,22,3,0.0,2.0,110
54,12994227,4,1,30,2,1.0,1.0,65
55,12927298,8,0,22,7,3.0,3.0,285
56,169938,0,0,17,4,1.0,1.0,140
57,594693,0,1,17,2,1.0,1.0,70
58,2384581,8,1,17,2,1.0,1.0,95
59,735970,1,1,17,2,1.0,1.0,55
60,4262255,0,1,17,2,1.0,1.0,80
61,4000384,8,1,17,2,1.0,1.0,120
62,6693305,0,1,17,2,1.0,1.0,65
63,6730758,0,1,17,4,1.0,2.0,100
64,6248970,0,1,30,1,1.0,1.0,65
65,12806707,8,1,17,1,1.0,1.0,60
66,14246616,0,1,17,2,1.0,1.0,63
67,3703674,11,1,17,2,1.0,1.0,75
68,4792901,8,1,17,2,1.0,1.0,65
69,5717528,0,1,17,1,1.0,1.0,110
70,5601743,8,1,17,2,1.0,1.0,46
71,13333862,0,1,17,3,1.0,1.0,75
72,519272,0,1,17,2,1.0,1.0,62
73,14090779,4,1,17,2,1.0,1.0,69
74,8481291,0,1,17,2,1.0,1.0,69
75,6990904,8,1,17,2,1.0,1.0,73
76,197727,0,1,17,1,1.0,1.0,85
77,932853,0,1,17,2,1.0,1.0,120
78,11159585,8,1,17,2,1.0,2.0,125
79,9677354,0,1,17,1,1.0,1.0,70
80,13426831,4,1,17,2,1.0,1.0,100
81,7956634,4,1,17,2,1.0,1.0,61
82,568234,8,1,17,4,1.0,2.0,125
83,1030500,0,1,17,2,1.0,1.0,100
84,13652374,0,1,17,1,1.0,1.0,27
85,12930651,0,1,17,2,1.0,1.0,80
86,3997572,8,1,17,2,1.0,1.0,85
87,4223387,8,1,17,3,1.0,2.0,75
88,12855396,8,1,30,1,1.0,1.0,57
89,12426823,0,1,17,2,1.0,1.0,100
90,14361322,0,1,17,1,1.0,1.0,40
91,2963419,8,1,17,1,1.0,1.0,100
92,5904732,8,1,17,2,1.0,1.0,70
93,3591359,0,0,17,4,2.0,2.0,190
94,2538536,0,0,30,3,1.0,1.0,149
95,4975581,0,0,17,6,2.0,2.0,168
96,4767023,8,0,17,5,3.0,4.0,205
97,6364042,8,1,17,2,1.0,1.0,65
98,7986179,0,0,17,2,1.0,1.0,75
99,14109003,4,0,17,4,2.0,4.0,117
101,1067184,0,1,17,2,1.0,1.0,95
102,13215952,0,1,17,2,1.0,1.0,69
103,777903,8,1,17,2,1.0,1.0,85
104,1301500,0,1,17,2,1.0,1.0,69
105,8923817,8,0,17,2,1.0,1.0,165
106,14057466,0,0,17,4,2.0,2.0,150
107,14909417,4,0,17,7,4.0,4.0,267
108,5521378,0,1,17,2,1.0,1.0,87
109,13041602,11,1,17,2,1.0,1.0,62
110,2621242,0,0,17,2,1.0,1.0,110
111,950046,0,0,17,6,3.0,3.0,250
112,3342094,0,0,17,6,2.0,2.0,150
