,id,sentiment_score,tfidf_score,clean,comments,sentiment_rate,prediction,actual
0,1178162,"[1.2919618762033729, 1.0521648518560347, 1.29585590135833, 1.1813289473269477, -1.0521590026862908, 1.1435454096308366, 1.1358230663866915, 1.1335086994454395, 1.061201671145903, 1.0307837234030746, 1.1024575056709203, 1.0327490625272795, -1.0495620117793203, 1.1137777790720023, 1.29585590135833, 1.1085478994208136, 1.0521648518560347, -1.6154134669052238, -1.2479233054186178, 1.282299556499269, 1.0018662023448, -1.0968641161911103, -1.4134307438111344, 1.0370570221866913, 1.2607647490138212, 1.29585590135833, 1.0032459835010044, -1.761287656524057]","[1.8514771938373173, 16.871155479817713, 5.975343717774219, 2.884762435177813, 5.020442850402919, 2.894830323794146, 2.106513772141474, 7.409724805523175, 3.6378317346993247, 3.8264679559166845, 7.729358477781558, 3.631341015243781, 2.3725884415090777, 2.4220556278485077, 5.975343717774219, 2.0888339592550134, 16.871155479817713, 6.635084590712046, 4.555643049032211, 2.9080301204971386, 3.7666917395346573, 3.2979234408969145, 4.894618415871542, 3.3759852112225976, 7.409724805523175, 5.975343717774219, 3.625749602826921, 7.400335065173335]",stay islam place really cool good location 5min away subway 10min downtown room nice place clean islam managed pretty well arrival even last minute recommand place airbnb user ,"my stay at islam's place was really cool! good location, 5min away from subway, then 10min from downtown. the room was nice, all place was clean. islam managed pretty well our arrival, even if it was last minute ;) i do recommand this place to any airbnb user :)",79.96093092,1,1
1,1178162,"[1.3141630998290912, 1.1358230663866915, 0.9860067471352505, 1.1164711216800418, 1.3141630998290912, 1.0432103661122583, 1.0146142987693716, 1.1017960709741894, 1.0521648518560347, 1.1443833438406892, 1.2122619473533864, -1.0968641161911103, -1.6330811295541279, 1.061201671145903]","[3.5722321487579984, 2.106513772141474, 4.042103719394624, 3.460296958150722, 3.5722321487579984, 4.524607920465369, 2.8170856359852054, 4.988099605682694, 8.435577739908856, 4.125485328333674, 3.0389642253779328, 3.2979234408969145, 4.363407035181078, 3.6378317346993247]",great location airport city great amenity house plus islam always helpful even though away,great location for both airport and city - great amenities in the house: plus islam was always very helpful even though he was away,43.10280058,1,1
2,1178162,"[1.1813289473269477, 1.3216291719430917, 1.2919618762033729, 1.0521648518560347, 1.0146142987693716, -1.2622421158124424, 1.0146142987693716, -1.2886711517141556, -1.3228533302481456, 1.3288134741158155, -1.5287180076440334, 1.1137777790720023, -1.0968641161911103, -1.6330811295541279, 1.0521648518560347, 1.1749079221285077, -1.104021971378342, 1.0018662023448, 0.9860067471352505, 0.9858976575039038, -1.6285471316269964, 0.9721626430734523, 0.9857333903981244, 1.061201671145903, -1.3160175213430034, -1.3738136568040762, -1.2338610034940043, 1.0146142987693716, -1.0605145171320807, -1.5719431366885386, -1.1838410437144373, 1.1813289473269477, -1.360375805395832, -1.4254180826352139, -1.45069126792268, -1.0979413273257832, 1.1440517512221382, 1.0521648518560347, 1.29585590135833, 1.2919618762033729, 1.148196243920022]","[5.769524870355626, 3.53342674378411, 3.7029543876746347, 25.306733219726567, 8.451256907955617, 4.860132239800373, 8.451256907955617, 3.7674327547593762, 4.571529441751828, 5.944113689574697, 5.5992732032829675, 2.4220556278485077, 3.2979234408969145, 4.363407035181078, 25.306733219726567, 2.6606993435689246, 5.54813424179178, 3.7666917395346573, 4.042103719394624, 3.470894535863885, 6.925669422821789, 4.594994205475457, 2.9903160481743356, 3.6378317346993247, 3.7016903625684106, 4.570425688880391, 3.9870613639661414, 8.451256907955617, 5.9035531671437855, 3.3355508628263912, 3.4455032551930334, 5.769524870355626, 4.299990219152706, 4.782871017188645, 4.798684340861371, 2.353899711182665, 2.6603725995699388, 25.306733219726567, 1.991781239258073, 3.7029543876746347, 1.996311448348051]",really enjoyed stay islam house outside house didnt look inviting inside nice even though islam everything prepared arrival airport station 510 min walk away little issue people house share one bathroom really problem worked fine would recommend islam place stay boston ,we really enjoyed our stay at islams house. from the outside the house didn't look so inviting but the inside was very nice! even though islam himself was not there everything was prepared for our arrival. the airport t station is only a 5-10 min walk away. the only little issue was that all the people in the house had to share one bathroom. but it was not really a problem and it worked out fine. we would recommend islams place for a stay in boston. ,69.95988916,1,1
3,1178162,"[-1.0495620117793203, 1.1137777790720023, 1.1085478994208136, 2.743234685075187, 1.1090296363471235, 0.9860067471352505, 1.0529011007760567, 0.9858976575039038, 1.0695018226161292, -1.3088171153613606, 1.1175667889017558, 1.1263408715608927, 1.0521648518560347, 1.530439445700254, -1.0559304501567681, 1.2122619473533864, -1.0979413273257832, 1.1440517512221382]","[2.3725884415090777, 2.4220556278485077, 2.0888339592550134, 9.30057517739546, 2.937762614323553, 4.042103719394624, 4.88626287922361, 3.470894535863885, 3.5448329638085485, 4.266467527114063, 3.8964911276867866, 3.154513621508379, 8.435577739908856, 7.372683533842825, 4.741448929908776, 3.0389642253779328, 2.353899711182665, 2.6603725995699388]",room nice clean commodity close airport metro station located quite safe area islam responds quickly helpful would recommend ,the room was nice and clean and so were the commodities. very close to the airport metro station and located in quite safe area. islam responds very quickly and is very helpful. i would recommend it. ,69.2574226,1,1
4,1178162,"[1.3141630998290912, 1.1358230663866915, -1.0840203963283064, 0.9721626430734523, 0.9857333903981244, 0.9860067471352505, 0.9858976575039038, 1.1435454096308366, 0.9991688886472968, 1.0132446741192718, -1.0495620117793203, 1.1068273337552343, 1.1085478994208136]","[1.7861160743789992, 2.106513772141474, 4.303785290121258, 4.594994205475457, 2.9903160481743356, 4.042103719394624, 3.470894535863885, 2.894830323794146, 4.084960302612666, 4.385625133433613, 2.3725884415090777, 5.229413950629017, 2.0888339592550134]",great location 5 min walk airport station good food nearby room simple clean,"great location. just 5 mins walk from the airport station. good food nearby.
room was simple, clean, just what i was after.",32.34580674,1,1
5,1178162,"[2.332008371333668, 0, 1.29585590135833, 1.2919618762033729, 1.2462266582098556, 1.4456514477168063, 1.1963932247313822, -1.0495620117793203, 1.1282195469271996, -1.1914547957292003, 1.1358230663866915, 1.3434735567064542, 0, 1.1214597873950967, 1.1090296363471235, 0.9860067471352505, 1.0307837234030746, 0.9984631328484278, 1.061201671145903, 1.0327490625272795, 1.4160572187812397, 0]","[9.675268626836871, 10.974551610967133, 1.991781239258073, 1.8514771938373173, 2.1502659535792903, 7.175324099684331, 3.3030353720970584, 2.3725884415090777, 5.8059633510938795, 4.7258641988920775, 2.106513772141474, 6.259033367810176, 10.974551610967133, 2.8840471641106857, 2.937762614323553, 4.042103719394624, 3.8264679559166845, 4.881734569598862, 3.6378317346993247, 3.631341015243781, 3.445861485538974, 11.380016719075297]",truely exeptional place stay host amazingly friendly room spotless wifi location superb latinamerican neighborhood close airport subway ride away downtown highly recommened ,"a truely exeptional place to stay. the hosts are amazingly friendly, the rooms are spotless, and there is wifi.
the location is superb: a latin-american neighborhood close to the airport and just a few subway rides away from downtown. highly recommened!
",85.55813157,1,1
6,1178162,"[1.1813289473269477, 1.1137777790720023, 1.1505661787537114, 1.148196243920022, 1.2734285248351056, 1.29585590135833, 1.2919618762033729, 1.148196243920022, 1.1813289473269477, 1.1137777790720023, 1.2122619473533864, 1.2462266582098556, 1.0610563491627445, 1.1505661787537114, -1.2133724850034746, 1.1435454096308366, -1.1819311887485666, 1.174831213947616, -1.1742493235477243, 1.1813289473269477, 1.1137777790720023, 1.1505661787537114, 1.148196243920022, -1.1090338957508314, 1.3343479206205833, 1.1062101961991444, 1.0542726619843652, 2.54729364106167, -1.2454348257829575, -1.5211329619075418, -1.1742493235477243, 1.1813289473269477, 1.1137777790720023, 1.1085478994208136, 1.0146142987693716, 1.0996420411620809, 0.9860067471352505, 1.0307837234030746, 0.9858976575039038, -1.2146969150070313, -1.1664156589829855, 1.0370570221866913, 1.061201671145903, 1.1813289473269477, 1.1435454096308366, 1.1505661787537114, 1.1440517512221382, 1.141610643307625, 1.1062101961991444, 1.106456888323878, 1.6842141925479601, 1.29585590135833, 1.2919618762033729, 1.148196243920022, 1.1435454096308366, -1.160818048080586, 1.4501986613408018, 1.064470430320738]","[14.423812175889065, 9.68822251139403, 10.865552997718055, 7.985245793392204, 4.0349747196620385, 3.983562478516146, 3.7029543876746347, 7.985245793392204, 14.423812175889065, 9.68822251139403, 3.0389642253779328, 2.1502659535792903, 5.937599008553503, 10.865552997718055, 7.354665028340148, 8.684490971382438, 3.8794872336800013, 4.270137256003025, 8.167206900602753, 14.423812175889065, 9.68822251139403, 10.865552997718055, 7.985245793392204, 4.406473699555157, 4.616709344459032, 8.698318485918353, 3.8264679559166845, 10.463725987201142, 5.579410059783555, 5.247703863379935, 8.167206900602753, 14.423812175889065, 9.68822251139403, 2.0888339592550134, 2.8170856359852054, 4.2226707187641015, 4.042103719394624, 3.8264679559166845, 3.470894535863885, 3.37581816870989, 5.56439476266356, 3.3759852112225976, 3.6378317346993247, 14.423812175889065, 8.684490971382438, 10.865552997718055, 2.6603725995699388, 4.203762187058153, 8.698318485918353, 2.47837778677497, 5.546669040064452, 3.983562478516146, 3.7029543876746347, 7.985245793392204, 8.684490971382438, 4.659796563940001, 3.6518210338758386, 3.524278261486515]",really nice time boston best place stay boston really nice helpful host taking time explain good thing see come really nice time boston big part want go sth ask may come really nice clean house near airport subway station like 6 minute away really good time recommend anyone want comfortable enjoyable place stay boston good price thanks lot ,"it was a really nice time in boston - best place to stay over in boston !! really nice and helpful hosts - taking there time to explain all the good things to see and how to come there.
we had a really nice time in boston and they had a big part on that.
if you want to go out doing sth - just ask them and they may come with you.
really nice and clean house - near to the airport and the subway station ( like 6 minutes away ). 

we had a really good time there and can just recommend it to anyone who want to have a comfortable and enjoyable place to stay in boston for a good price. thanks a lot.
",332.6329311,1,1
7,1178162,"[1.0521648518560347, 1.1137777790720023, 1.1416055642843042, 1.221532923116327, -1.0887178518339258, 1.05361387313731, 0, 1.0523734965410922, 1.148196243920022, 1.0750564462461294, 1.29585590135833, 1.0542726619843652, 1.1515707296490072, 1.1085478994208136, 1.2134114751336265, 0.9840363629678478, -1.4292948668927887, 1.1017960709741894, 1.2607647490138212, 1.3141630998290912, 1.1668067594003724]","[8.435577739908856, 2.4220556278485077, 5.362640790182813, 5.454424916118023, 7.607255780980658, 4.002257810847424, 10.974551610967133, 5.895219785584642, 1.996311448348051, 7.618816603381734, 1.991781239258073, 3.8264679559166845, 5.067374880381739, 2.0888339592550134, 5.188677247592459, 6.218091977432815, 5.4678659786870405, 4.988099605682694, 7.409724805523175, 1.7861160743789992, 3.0753981276240347]",islam nice guy attentive funny gave recommandation info boston nightlife place go flat clean tidy patio real plus recommand great experience ,"islam is a very nice guy ! attentive, funny, he gave me recommandation and info about boston ( nightlife, places to go and so on) 
his flat is clean, tidy and there is a patio which is a real plus! 
i do recommand this, great experience !",77.11878078,1,1
8,1178162,"[1.29585590135833, 1.1813289473269477, 1.282299556499269, -1.066709952648673, 1.4551469820316447, 1.1085478994208136, 1.0521648518560347, 1.2122619473533864, 1.0873346355366094, 0.955264464895177, -1.2454348257829575, -1.1141916492263162, -1.1892418116446433, -1.7670281405434176, 1.1140206683663045, 1.1684376331665651, -1.0521590026862908, -1.1297748147320916, -1.1153753458710465, 1.29585590135833, -1.2479233054186178, 1.1596643036499348, 1.0695018226161292, 1.4160572187812397, 1.3281735914391508, 1.1003064309989625, -1.491481716715541, -2.13926956354284, 1.148196243920022, 1.8471093343440272, -1.3120085493849525, 0, -1.3454978072387254, -1.4478265617375523, 1.3141630998290912, 1.1358230663866915, -1.160818048080586, -1.2668971185229632, -1.3202584374675297]","[3.983562478516146, 2.884762435177813, 2.9080301204971386, 5.437217343948595, 4.4828169540326765, 2.0888339592550134, 8.435577739908856, 3.0389642253779328, 3.50775213594853, 4.869014607599302, 5.579410059783555, 8.161140894207096, 4.788342987066638, 8.854288074767041, 4.4965541326622045, 5.109973913765004, 5.020442850402919, 6.539774410907722, 7.042725978242807, 3.983562478516146, 4.555643049032211, 5.0343803582467, 3.5448329638085485, 3.445861485538974, 4.48991637533188, 4.563280838480328, 5.247703863379935, 8.223016297925184, 1.996311448348051, 8.777327033630913, 5.420300870281895, 10.974551610967133, 3.582520043452541, 6.800164341071495, 1.7861160743789992, 2.106513772141474, 4.659796563940001, 5.2763401813603865, 3.943694134851012]",place really well furnished pleasant clean islam helpful feel free ask virtually anything hell help fun cool talking oh place pretty conveniently located highly recommended neighbourhood might cleanest boston gf liked brooklyne much matter great location price value overall,"the place is really well furnished, pleasant and clean. islam was very helpful, you can feel free to ask him virtually anything and he'll help you. he was fun too, very cool talking to him. oh, and the place is pretty conveniently located too. highly recommended.

the neighbourhood might not be the cleanest in boston (my gf liked brooklyne much more in that matter), but this is a great location and price for value overall.",-26.84627876,1,1
9,1178162,"[1.2919618762033729, 1.0521648518560347, 1.29585590135833, 1.2682426165355931, -1.5263556394509565, -1.124196713158765, 1.0736991040969908, -1.2668971185229632, 1.1358230663866915, 1.0432103661122583, 1.2109579546046303, -1.3454978072387254, 1.1027178637658206, 1.106456888323878, 1.29585590135833, -1.0979413273257832, 1.1199718392687363, 1.2919618762033729, 1.2126052803603868, 1.148196243920022, 1.0521648518560347, 1.1443833438406892, 1.1199718392687363, -1.0629688431474937, 1.0422451163317221, -1.410914120709262, 1.1463290423352777, -1.2953002533189089, -1.8312386563447869, 1.3322928746539056, 1.233703587754677, 1.3052309086995095, 1.29585590135833, 1.2046330913793057, 1.2462266582098556]","[3.7029543876746347, 16.871155479817713, 5.975343717774219, 3.9516835248844906, 4.664633332740616, 5.0746542573846405, 4.160008713707174, 5.2763401813603865, 2.106513772141474, 4.524607920465369, 3.723916099068452, 3.582520043452541, 3.006578431304197, 2.47837778677497, 5.975343717774219, 2.353899711182665, 8.218711892807583, 3.7029543876746347, 4.918548542721579, 1.996311448348051, 16.871155479817713, 4.125485328333674, 8.218711892807583, 5.221978972141499, 3.748827566928342, 6.189841511146963, 3.6869909706574084, 4.461321500054825, 5.666283913565928, 3.855455492789937, 5.478750439885464, 3.35384652412887, 5.975343717774219, 3.533817903577871, 2.1502659535792903]",stay islam place fantastic couldnt asked better value location amenity felt much home comfortable place would quick stay return boston islam always quick respond question concern accommodating every point trip truly wonderful place lovely host,"our stay at islam's place was fantastic. we couldn't have asked for a better value on location and amenities. we felt very much at home and comfortable at his place and would be quick to stay with him again if we return to boston!

islam was always quick to respond to any questions or concerns we had and very accommodating at every point in our trip! truly a wonderful place and a lovely host!",100.8357183,1,1
