,sentiment_score,tfidf_score,sentence,sentiment_rate,prediction,sentiment
0,"[1.2872816192821832, 1.1119148664936407, 1.3851125954822725, 1.2379210703627976, 1.1035667039407333, 1.1543380358845685, 1.157289917534455, 1.1415155124911287, 1.1090177364011147, 1.0483228770235435, 1.1470470227300174, 1.0461952406268855, 1.0750842391361195, 1.139674086761723, 1.3851125954822725, 1.1013852648708433, 1.1119148664936407, 1.6752298829518426, 1.2869759084881778, 1.3034539702312649, 1.0150854430126617, 1.0846318414413123, 1.5139698980696734, 1.0481876931034582, 1.392414460598259, 1.3851125954822725, 1.0261856436637011, 1.9218427256763804]","[1.8513401149177473, 16.869571468926367, 5.974349119298645, 2.8844816510509785, 5.020516271233675, 2.895381501894941, 2.1060503974820737, 7.408932800077502, 3.637473945500162, 3.826462629415477, 7.741638553903238, 3.631412008772921, 2.3721027241603814, 2.4219717693407232, 5.974349119298645, 2.088364824594646, 16.869571468926367, 6.634292585266374, 4.555938591273938, 2.907866058557186, 3.7658997340889844, 3.297440506694623, 4.89382641042587, 3.375527374535256, 7.408932800077502, 5.974349119298645, 3.6253865978168287, 7.399543059727663]",stay islam place really cool good location 5min away subway 10min downtown room nice place clean islam managed pretty well arrival even last minute recommand place airbnb user ,183.7785519,1,1
1,"[1.3867368577072914, 1.157289917534455, 0.9879594488296146, 1.146696559258892, 1.3867368577072914, 1.0706940481560954, 1.0668491073677908, 1.1226205100032038, 1.1119148664936407, 1.2564167943553382, 1.2548012047987542, 1.0846318414413123, 1.704117695130447, 1.1090177364011147]","[3.571534194418369, 2.1060503974820737, 4.041311713948952, 3.460414126328909, 3.571534194418369, 4.5243429242545545, 2.817153763435301, 4.989823324834269, 8.434785734463183, 4.125046867173106, 3.0387687007134407, 3.297440506694623, 4.362615029735405, 3.637473945500162]",great location airport city great amenity house plus islam always helpful even though away,67.17444119,1,1
2,"[1.2379210703627976, 1.430644165302855, 1.2872816192821832, 1.1119148664936407, 1.0668491073677908, 1.3570474960926031, 1.0668491073677908, 1.3758162081068794, 1.3257714698852054, 1.4611091780789351, 1.6723705751730853, 1.139674086761723, 1.0846318414413123, 1.704117695130447, 1.1119148664936407, 1.2855503250593652, 1.1066345151088985, 1.0150854430126617, 0.9879594488296146, 0.9934835252903901, 1.7997626886757172, 0.9845879414640413, 1.0071322065914623, 1.1090177364011147, 1.3437487878869476, 1.360537285072725, 1.2130479191088146, 1.0668491073677908, 1.1419556402583027, 1.866490349090047, 1.1868245548056604, 1.2379210703627976, 1.4055225239043758, 1.4594667266033243, 1.5025089253328456, 1.111022010240891, 1.263487690147261, 1.1119148664936407, 1.3851125954822725, 1.2872816192821832, 1.1836164793506185]","[5.768963302101957, 3.53322153542129, 3.7026802298354946, 25.30435720338955, 8.451461290305904, 4.860077425689228, 8.451461290305904, 3.7671350646969772, 4.571842408794274, 5.943321684129025, 5.598481197837295, 2.4219717693407232, 3.297440506694623, 4.362615029735405, 25.30435720338955, 2.6602341889187753, 5.547342236346108, 3.7658997340889844, 4.041311713948952, 3.4706537477036443, 6.924877417376116, 4.5953334218698725, 2.9895240427286636, 3.637473945500162, 3.7018242831148167, 4.569633683434718, 3.987809478954266, 8.451461290305904, 5.9027611616981135, 3.334919306638985, 3.4456070663440412, 5.768963302101957, 4.298777426829376, 4.782079011742972, 4.797892335415698, 2.3530475933267674, 2.6595805941242663, 25.30435720338955, 1.9914497064328816, 3.7026802298354946, 1.9959399466720837]",really enjoyed stay islam house outside house didnt look inviting inside nice even though islam everything prepared arrival airport station 510 min walk away little issue people house share one bathroom really problem worked fine would recommend islam place stay boston ,299.2497919,1,1
3,"[1.0750842391361195, 1.139674086761723, 1.1013852648708433, 4.228489610502266, 1.100758412021345, 0.9879594488296146, 1.0294081264212074, 0.9934835252903901, 1.1234950409361408, 1.2853840419542761, 1.1596818128007091, 1.186410593538802, 1.1119148664936407, 1.6005511923186424, 1.0628783491910652, 1.2548012047987542, 1.111022010240891, 1.263487690147261]","[2.3721027241603814, 2.4219717693407232, 2.088364824594646, 9.299783171949787, 2.937294006713934, 4.041311713948952, 4.885470873777938, 3.4706537477036443, 3.544832410719188, 4.266897268918713, 3.8965428854749726, 3.1539893895279563, 8.434785734463183, 7.371891528397153, 4.740656924463103, 3.0387687007134407, 2.3530475933267674, 2.6595805941242663]",room nice clean commodity close airport metro station located quite safe area islam responds quickly helpful would recommend ,116.3698437,1,1
4,"[1.3867368577072914, 1.157289917534455, 1.1344395698419432, 0.9845879414640413, 1.0071322065914623, 0.9879594488296146, 0.9934835252903901, 1.1543380358845685, 1.006442760772035, 1.026040317025452, 1.0750842391361195, 1.153808642886501, 1.1013852648708433]","[1.7857670972091846, 2.1060503974820737, 4.303415849651238, 4.5953334218698725, 2.9895240427286636, 4.041311713948952, 3.4706537477036443, 2.895381501894941, 4.084168297166994, 4.384833127987941, 2.3721027241603814, 5.228621945183344, 2.088364824594646]",great location 5 min walk airport station good food nearby room simple clean,47.60659028,1,1
5,"[2.6713143230256007, 0, 1.3851125954822725, 1.2872816192821832, 1.2948601797484254, 1.5568623767858807, 1.2093571859575567, 1.0750842391361195, 1.1927709111725757, 1.274060535208537, 1.157289917534455, 1.400322484060045, 0, 1.162785809179296, 1.100758412021345, 0.9879594488296146, 1.0483228770235435, 1.011593210081909, 1.1090177364011147, 1.0461952406268855, 1.5144913236931372, 0]","[9.674476621391198, 10.97375960552146, 1.9914497064328816, 1.8513401149177473, 2.149621075472595, 7.174532094238658, 3.3027093860772956, 2.3721027241603814, 5.80707068145186, 4.726361684276277, 2.1060503974820737, 6.258241362364503, 10.97375960552146, 2.8833573089281392, 2.937294006713934, 4.041311713948952, 3.826462629415477, 4.880942564153191, 3.637473945500162, 3.631412008772921, 3.4454278388142128, 11.379224713629624]",truely exeptional place stay host amazingly friendly room spotless wifi location superb latinamerican neighborhood close airport subway ride away downtown highly recommened ,108.2105589,1,1
6,"[1.2379210703627976, 1.139674086761723, 1.256495509441876, 1.1836164793506185, 1.335356211338203, 1.3851125954822725, 1.2872816192821832, 1.1836164793506185, 1.2379210703627976, 1.139674086761723, 1.2548012047987542, 1.2948601797484254, 1.1124531998666412, 1.256495509441876, 1.2708432081124539, 1.1543380358845685, 1.3529312578185186, 1.23274493760482, 1.3401132124582482, 1.2379210703627976, 1.139674086761723, 1.256495509441876, 1.1836164793506185, 1.100373291488935, 1.346604577101952, 1.161187824890161, 1.0964180367397907, 3.0953786253730757, 1.3177061848807141, 1.5859738221002397, 1.3401132124582482, 1.2379210703627976, 1.139674086761723, 1.1013852648708433, 1.0668491073677908, 1.1171602394940185, 0.9879594488296146, 1.0483228770235435, 0.9934835252903901, 1.3363137690530829, 1.178972785565662, 1.0481876931034582, 1.1090177364011147, 1.2379210703627976, 1.1543380358845685, 1.256495509441876, 1.263487690147261, 1.3263370869483404, 1.161187824890161, 1.1310397814779358, 1.8929430790271942, 1.3851125954822725, 1.2872816192821832, 1.1836164793506185, 1.1543380358845685, 1.2137772762813066, 1.4116741086744338, 1.0931560911435547]","[14.422408255254894, 9.687887077362893, 10.863421648223142, 7.983759786688335, 4.034505659479952, 3.982899412865763, 3.7026802298354946, 7.983759786688335, 14.422408255254894, 9.687887077362893, 3.0387687007134407, 2.149621075472595, 5.93680700310783, 10.863421648223142, 7.362841692877235, 8.686144505684823, 3.8789716622374715, 4.269753830746898, 8.167657822903749, 14.422408255254894, 9.687887077362893, 10.863421648223142, 7.983759786688335, 4.40661846232787, 4.61591733901336, 8.6976188438232, 3.8262003343320057, 10.46293398175547, 5.578618054337883, 5.246911857934262, 8.167657822903749, 14.422408255254894, 9.687887077362893, 2.088364824594646, 2.817153763435301, 4.222268349013987, 4.041311713948952, 3.826462629415477, 3.4706537477036443, 3.3756945007995376, 5.563602757217888, 3.375527374535256, 3.637473945500162, 14.422408255254894, 8.686144505684823, 10.863421648223142, 2.6595805941242663, 4.202205947719724, 8.6976188438232, 2.4781987142323363, 5.54587703461878, 3.982899412865763, 3.7026802298354946, 7.983759786688335, 8.686144505684823, 4.6596078767630065, 3.65058888757799, 3.5238738529449196]",really nice time boston best place stay boston really nice helpful host taking time explain good thing see come really nice time boston big part want go sth ask may come really nice clean house near airport subway station like 6 minute away really good time recommend anyone want comfortable enjoyable place stay boston good price thanks lot ,497.3574911,1,1
7,"[1.1119148664936407, 1.139674086761723, 1.1690364647177263, 1.257797701294748, 1.1386674048629222, 1.0712873288569233, 0, 1.0971387366051142, 1.1836164793506185, 1.0780990875069045, 1.3851125954822725, 1.0964180367397907, 1.232753860060319, 1.1013852648708433, 1.3459998446309525, 1.019839445309194, 1.6566360706497525, 1.1226205100032038, 1.392414460598259, 1.3867368577072914, 1.2485415243522109]","[8.434785734463183, 2.4219717693407232, 5.361848784737141, 5.45363291067235, 7.606463775534985, 4.001778354240051, 10.97375960552146, 5.894427780138969, 1.9959399466720837, 7.618024597936062, 1.9914497064328816, 3.8262003343320057, 5.06748990447671, 2.088364824594646, 5.187885242146787, 6.217299971987142, 5.467073973241368, 4.989823324834269, 7.408932800077502, 1.7857670972091846, 3.074853524455725]",islam nice guy attentive funny gave recommandation info boston nightlife place go flat clean tidy patio real plus recommand great experience ,115.3719965,1,1
8,"[1.3851125954822725, 1.2379210703627976, 1.3034539702312649, 1.099646421780661, 1.5195540917419235, 1.1013852648708433, 1.1119148664936407, 1.2548012047987542, 1.2108400377970268, 0.9788567232703056, 1.3177061848807141, 1.1454362979403858, 1.3646889987891122, 1.7503289188004756, 1.1175648162141976, 1.2141013823191118, 1.1035667039407333, 1.1481786822072406, 1.1481673161526587, 1.3851125954822725, 1.2869759084881778, 1.215986665307217, 1.1234950409361408, 1.5144913236931372, 1.4479225604161572, 1.129362899653355, 1.4706294167199097, 2.2939711397512084, 1.1836164793506185, 2.036480430363718, 1.3115878489657529, 0, 1.2986376535608661, 1.6768674960137675, 1.3867368577072914, 1.157289917534455, 1.2137772762813066, 1.3279512146882144, 1.3042659473933653]","[3.982899412865763, 2.8844816510509785, 2.907866058557186, 5.436425338502923, 4.482530382006912, 2.088364824594646, 8.434785734463183, 3.0387687007134407, 3.5077227616170368, 4.868966373106474, 5.578618054337883, 8.160348888761423, 4.786865345666784, 8.85349606932137, 4.496274553566458, 5.109181908319332, 5.020516271233675, 6.53898240546205, 7.041933972797134, 3.982899412865763, 4.555938591273938, 5.033588352801028, 3.544832410719188, 3.4454278388142128, 4.489633405275159, 4.562488833034656, 5.246911857934262, 8.22222429247951, 1.9959399466720837, 8.77653502818524, 5.419508864836223, 10.97375960552146, 3.5819334400821514, 6.799372335625823, 1.7857670972091846, 2.1060503974820737, 4.6596078767630065, 5.2755481759147145, 3.9429021294053395]",place really well furnished pleasant clean islam helpful feel free ask virtually anything hell help fun cool talking oh place pretty conveniently located highly recommended neighbourhood might cleanest boston gf liked brooklyne much matter great location price value overall,252.309068,1,1
9,"[1.2872816192821832, 1.1119148664936407, 1.3851125954822725, 1.2849780742247234, 1.7515141270968388, 1.1181941039177905, 1.172447586165387, 1.3279512146882144, 1.157289917534455, 1.0706940481560954, 1.2779348680583897, 1.2986376535608661, 1.2244487918623885, 1.1310397814779358, 1.3851125954822725, 1.111022010240891, 1.1689372298557752, 1.2872816192821832, 1.3089763810308677, 1.1836164793506185, 1.1119148664936407, 1.2564167943553382, 1.1689372298557752, 1.0963613906211847, 1.0777315202214177, 1.433071641476646, 1.1544967820019545, 1.628938454322053, 1.8596289211974582, 1.355410531839749, 1.2444384975653902, 1.3592385475663247, 1.3851125954822725, 1.2301570848428545, 1.2948601797484254]","[3.7026802298354946, 16.869571468926367, 5.974349119298645, 3.951188652110741, 4.663841327294943, 5.0738622519389684, 4.159948772715865, 5.2755481759147145, 2.1060503974820737, 4.5243429242545545, 3.7235973543982954, 3.5819334400821514, 3.0062483729737957, 2.4781987142323363, 5.974349119298645, 2.3530475933267674, 8.21921592804291, 3.7026802298354946, 4.917756537275906, 1.9959399466720837, 16.869571468926367, 4.125046867173106, 8.21921592804291, 5.221186966695827, 3.748278132739165, 6.18904950570129, 3.686198965211736, 4.460035057021824, 5.665491908120255, 3.8546634873442644, 5.477958434439791, 3.3530545186831975, 5.974349119298645, 3.533417210991819, 2.149621075472595]",stay islam place fantastic couldnt asked better value location amenity felt much home comfortable place would quick stay return boston islam always quick respond question concern accommodating every point trip truly wonderful place lovely host,226.0827966,1,1
